source;target
Deanmufc77;ecb
BurseShantez;JimboSamso
PostModMarkets;CoinDesk
Elenai88;VincentCrypt46
Elenai88;CodeMonkeyZ
Alexjam04365546;SmartCryptoNew1
Alexjam04365546;Bibox365
Alexjam04365546;Yield_Field_1
Alexjam04365546;Plasma_Pay
ohaiom;jchervinsky
oteikwu16;IAmENISA
oteikwu16;gyaigyimii
oteikwu16;Dehkunle
oteikwu16;instablog9ja
Suspiria91;elonmusk
Suspiria91;naval
scarce_assets;LukeGromen
DeyeyeSeun;IAmENISA
DeyeyeSeun;TheCryptoLark
cryptoninjatech;brucefenton
cryptoninjatech;Ripple
juanDominic3;binance
juanDominic3;gandoes3
Haidz1629;DexDigest
Haidz1629;Bibox365
Haidz1629;SmartCryptoNew1
Syed_VIP07;NischalShetty
Syed_VIP07;WazirXIndia
Yuppie89375256;RussellOkung
Yuppie89375256;100trillionUSD
Yuppie89375256;bitcoinzay
Patrick64978404;JoeBiden
T_R_I_U_M_P_H;saxena_puru
T_R_I_U_M_P_H;cperruna
T_R_I_U_M_P_H;YouTube
mclarry02;donaldyip
DJS13765202;BorisJohnson
DJS13765202;TiceRichard
DJS13765202;MattHancock
Jhadj_OriGin8or;PeterSchiff
jaguirre390;Santiag78758327
jaguirre390;rohangrey
jaguirre390;RealVision
millenial_red;CodeMonkeyZ
LightningDarkLD;konsTYtucJApl
LightningDarkLD;realDonaldTrump
EUbrainwashing;SkyNews
EUbrainwashing;JamesDelingpole
EUbrainwashing;jeffreyatucker
EUbrainwashing;MahyarTousi
EUbrainwashing;MichaelYeadon3
EUbrainwashing;YouTube
jpscasteras;Kiffmeister
jpscasteras;jp_koning
jpscasteras;Gonzo_MM
jpscasteras;pesla
Ben_Jamin_Ball;Neloangelo314
MyCryptocurren1;NeerajKA
MyCryptocurren1;elonmusk
manbeachproject;RaoulGMI
manbeachproject;balajis
Breezybree270;RussellOkung
MackAttackXRP;SEC_News
iamlisakirk;RussellOkung
The_Moccasin_;RealJamesWoods
The_Moccasin_;realDonaldTrump
The_Moccasin_;TomFitton
The_Moccasin_;tedcruz
1way_xrp;GoldTelegraph_
jamestwilkinson;s_alderoty
jamestwilkinson;Reuters
xrpSparky91011;DiepSanh
xrpSparky91011;Ripple
AdamSpragg;RussellOkung
Tayyab447;PiCoreTeam
Tayyab447;CryptoAdventure
jimdelisle;DiepSanh
BlacklionCTA;TerryWitterBTC
BlacklionCTA;SantiagoAuFund
gandoes3;binance
BillKronoss;FatEmperor
BillKronoss;MichaelYeadon3
jpsc01;GoingParabolic
Sdavis8;chigrl
masarwah4;GeorgeGammon
roark183;PeterSchiff
alexjohnward;wisewizzz
alexjohnward;MartinAudley
ric_pickle;JackHar10524114
FASTchu03;BLACKPINK
schoenrock_zach;GoldTelegraph_
Emmanuel190417;coinbase
Wiliverpooll;zerohedge
Cap_Ton;xrp_mami
CF_Poet;FinanceLancelot
CF_Poet;SantiagoAuFund
HamidRowaihy;SEC_News
HamidRowaihy;BankXRP
_animal_spirits;ttmygh
_animal_spirits;AitkenAdvisors
_animal_spirits;fleckcap
JimForsythe5;LukeGromen
pikell_;saxena_puru
ZizweMabece;tito_mboweni
SolveExistence;SantiagoAuFund
SolveExistence;zndtoshi
SolveExistence;LukeGromen
SolveExistence;RichardHastie
SolveExistence;btcbraj
SolveExistence;BaldBitcoin
maxydeartino;GoldTelegraph_
defi_danny;TR401
GalaxyDigital11;TrustWalletApp
GalaxyDigital11;binance
GalaxyDigital11;kucoincom
GalaxyDigital11;WazirXIndia
GalaxyDigital11;PayPal
GalaxyDigital11;Grayscale
GalaxyDigital11;cctip_io
GalaxyDigital11;HuobiGlobal
GalaxyDigital11;Roobet
GalaxyDigital11;davidgokhshtein
Moonblast78;davidgokhshtein
Moonblast78;Bitboy_Crypto
Moonblast78;TheCryptoLark
JusticeYemen21;zerohedge
OpLoveJustin;Twitter
WholePicture_;chigrl
valeantadvisors;Melt_Dem
valeantadvisors;IvanOnTech
haydentiff;crasl7
haydentiff;JoelKatz
haydentiff;Hopiumhater
haydentiff;jchervinsky
collam1020;business
collam1020;markets
collam1020;Nouriel
brianhhawthorne;davidgerard
anarchotaoist;LukeGromen
anarchotaoist;zndtoshi
anarchotaoist;RichardHastie
anarchotaoist;btcbraj
anarchotaoist;BaldBitcoin
CryptoKingMake2;Reuters
CoinpediaNews;alistairmilne
CoinpediaNews;michael_saylor
CoinpediaNews;danheld
PropineGlobal;CoinDesk
stauffelbaker;SEC_News
stauffelbaker;Ripple
SmindCrypto;Alphonsobwjr
SmindCrypto;RyanSAdams
SmindCrypto;Cointelegraph
gman31881;michael_saylor
PINSrvr;xrp_mami
ThePipe58922469;maxkeiser
ThePipe58922469;bankofengland
ThePipe58922469;federalreserve
BAmirmojahed;cz_binance
BAmirmojahed;AryacoinAYA
BAmirmojahed;binance
BAmirmojahed;TheCryptoLark
BAmirmojahed;aantonop
BAmirmojahed;IvanOnTech
RatesZero;NeilClark66
RatesZero;Mark_J_Harper
RatesZero;zerohedge
RatesZero;simondolan
RatesZero;emmakennytv
RatesZero;GoldTelegraph_
dougywolfe;htsfhickey
dougywolfe;DTAPCAP
dougywolfe;saifedean
dougywolfe;aantonop
dougywolfe;skwp
soclose2me;htsfhickey
soclose2me;DTAPCAP
soclose2me;saifedean
soclose2me;aantonop
soclose2me;skwp
soclose2me;ttmygh
soclose2me;fleckcap
detector_tweet;xrp_mami
jshaver61;Nouriel
nasssnr81;DanBurkholder1
nasssnr81;TheRealTahinis
nasssnr81;PeterSchiff
AdviserCounsel;TR401
Skull_Crypto7;davidgokhshtein
Skull_Crypto7;girlgone_crypto
